Date,LP_95,LP_92,LAD,LSD,LK,LIK,FUR_800,FUR_1500_High,FUR_1500_Low
2010-01-01,133.0,115.0,73.0,88.3,51.0,56.0,32.9,32.7,32.7
2010-01-02,133.0,115.0,73.0,88.3,51.0,56.0,32.9,32.7,32.7
2010-01-03,133.0,115.0,73.0,88.3,51.0,56.0,32.9,32.7,32.7
2010-01-04,133.0,115.0,73.0,88.3,51.0,56.0,32.9,32.7,32.7
2010-01-05,133.0,115.0,73.0,88.3,51.0,56.0,32.9,32.7,32.7
2010-01-06,133.0,115.0,73.0,88.3,51.0,56.0,32.9,32.7,32.7
2010-01-07,133.0,115.0,73.0,88.3,51.0,56.0,32.9,32.7,32.7
2010-01-08,133.0,115.0,73.0,88.3,51.0,56.0,32.9,32.7,32.7
2010-01-09,133.0,115.0,73.0,88.3,51.0,56.0,32.9,32.7,32.7
2010-01-10,133.0,115.0,73.0,88.3,51.0,56.0,32.9,32.7,32.7
2010-01-11,133.0,115.0,73.0,88.3,51.0,56.0,32.9,32.7,32.7
2010-01-12,133.0,115.0,73.0,88.3,51.0,56.0,32.9,32.7,32.7
2010-01-13,133.0,115.0,73.0,88.3,51.0,56.0,32.9,32.7,32.7
2010-01-14,133.0,115.0,73.0,88.3,51.0,56.0,32.9,32.7,32.7
2010-01-15,133.0,115.0,73.0,88.3,51.0,56.0,32.9,32.7,32.7
2010-01-16,133.0,115.0,73.0,88.3,51.0,56.0,32.9,32.7,32.7
2010-01-17,133.0,115.0,73.0,88.3,51.0,56.0,32.9,32.7,32.7
2010-01-18,133.0,115.0,73.0,88.3,51.0,56.0,32.9,32.7,32.7
2010-01-19,133.0,115.0,73.0,88.3,51.0,56.0,32.9,32.7,32.7
2010-01-20,133.0,115.0,73.0,88.3,51.0,56.0,32.9,32.7,32.7
2010-01-21,133.0,115.0,73.0,88.3,51.0,56.0,32.9,32.7,32.7
2010-01-22,133.0,115.0,73.0,88.3,51.0,56.0,32.9,32.7,32.7
2010-01-23,133.0,115.0,73.0,88.3,51.0,56.0,32.9,32.7,32.7
2010-01-24,133.0,115.0,73.0,88.3,51.0,56.0,32.9,32.7,32.7
2010-01-25,133.0,115.0,73.0,88.3,51.0,56.0,32.9,32.7,32.7
2010-01-26,133.0,115.0,73.0,88.3,51.0,56.0,32.9,32.7,32.7
2010-01-27,133.0,115.0,73.0,88.3,51.0,56.0,32.9,32.7,32.7
2010-01-28,133.0,115.0,73.0,88.3,51.0,56.0,32.9,32.7,32.7
2010-01-29,133.0,115.0,73.0,88.3,51.0,56.0,32.9,32.7,32.7
2010-01-30,133.0,115.0,73.0,88.3,51.0,56.0,32.9,32.7,32.7
2010-01-31,133.0,115.0,73.0,88.3,51.0,56.0,32.9,32.7,32.7
2010-02-01,133.0,115.0,73.0,88.3,51.0,56.0,32.9,32.7,32.7
2010-02-02,133.0,115.0,73.0,88.3,51.0,56.0,32.9,32.7,32.7
2010-02-03,133.0,115.0,73.0,88.3,51.0,56.0,32.9,32.7,32.7
2010-02-04,133.0,115.0,73.0,88.3,51.0,56.0,32.9,32.7,32.7
2010-02-05,133.0,115.0,73.0,88.3,51.0,56.0,32.9,32.7,32.7
2010-02-06,133.0,115.0,73.0,88.3,51.0,56.0,32.9,32.7,32.7
2010-02-07,133.0,115.0,73.0,88.3,51.0,56.0,32.9,32.7,32.7
2010-02-08,133.0,115.0,73.0,88.3,51.0,56.0,32.9,32.7,32.7
2010-02-09,133.0,115.0,73.0,88.3,51.0,56.0,32.9,32.7,32.7
2010-02-10,133.0,115.0,73.0,88.3,51.0,56.0,32.9,32.7,32.7
2010-02-11,133.0,115.0,73.0,88.3,51.0,56.0,32.9,32.7,32.7
2010-02-12,133.0,115.0,73.0,88.3,51.0,56.0,32.9,32.7,32.7
2010-02-13,133.0,115.0,73.0,88.3,51.0,56.0,32.9,32.7,32.7
2010-02-14,133.0,115.0,73.0,88.3,51.0,56.0,32.9,32.7,32.7
